AtomicNumber;Element;Symbol;AtomicMass;Phase;Radioactive;Natural;Type;MeltingPoint;BoilingPoint;Discoverer;Year;NumberofShells;NumberofValence
107;Bohrium;Bh;264;artificial;yes;;Transactinide;;;Armbruster and M?nzenberg;1981;7;
108;Hassium;Hs;267;artificial;yes;;Transactinide;;;Armbruster and M?nzenberg;1983;7;
109;Meitnerium;Mt;268;artificial;yes;;Transactinide;;;GSI, Darmstadt, West Germany;1982;7;
110;Darmstadtium;Ds;271;artificial;yes;;Transactinide;;;;1994;7;
111;Roentgenium;Rg;272;artificial;yes;;Transactinide;;;;1994;7;
112;Copernicium;Cn;285;artificial;yes;;Transactinide;;;;1996;7;
113;Nihonium;Nh;284;artificial;yes;;;;;;2004;7;3
114;Flerovium;Fl;289;artificial;yes;;Transactinide;;;;1999;7;4
115;Moscovium;Mc;288;artificial;yes;;;;;;2010;7;5
116;Livermorium;Lv;292;artificial;yes;;Transactinide;;;;2000;7;6
117;Tennessine;Ts;295;artificial;yes;;;;;;2010;7;7
118;Oganesson;Og;294;artificial;yes;;Noble Gas;;;;2006;7;8
